codigo,articulo,uxb,precio caja,precio unitario,cantidad_normalizada,unidad_estandar,precio_estandar
2779,INTI HEBRAS VERDE SENCHA 300GR,3,77896.781,25965.594,0.3,KG,86551.98000000001
2780,INTI HEBRAS BE ORANGE 300GR,3,77896.781,25965.594,0.3,KG,86551.98000000001
2781,INTI HEBRAS BE BERRIES 300GR,3,77896.781,25965.594,0.3,KG,86551.98000000001
2782,INTI HEBRAS BE RELAX 300GR,3,77896.781,25965.594,0.3,KG,86551.98000000001
2783,AGUARDIENTE CACHACA 51 965ML,12,256381.414,21365.118,0.965,LT,22140.01865284974
2786,TERRAZAS RESERVA PINOT NOIR 750ML,6,89328.415,14888.069,0.75,LT,19850.758666666665
2787,CHANDON CUVEE RESERVE BLANC DE NOIR 750ML,6,150830.397,25138.4,0.75,LT,33517.86666666667
2788,SKYY COSMIC 700ML,12,99619.164,8301.597,0.7,LT,11859.424285714285
2790,CLOS DE LOS SIETE BLEND 750ML,6,94089.6,15681.6,0.75,LT,20908.8
2791,MARIFLOR MALBEC 750ML,6,114545.445,19090.907,0.75,LT,25454.542666666664
2792,MARIFLOR PINOT NOIR 750ML,6,143999.945,23999.991,0.75,LT,31999.988
2793,MARIFLOR SAUVIGNON BLANC 750ML,6,131727.222,21954.537,0.75,LT,29272.716
2794,TRUMPETER RESERVE TORRONTES 750ML,6,55728.0,9288.0,0.75,LT,12384.0
2795,CUCHILLO DE PALO ROSE 750ML,6,100035.54,16672.59,0.75,LT,22230.12
2796,CUCHILLO DE PALO PINOT NOIR 750ML,6,83025.905,13837.651,0.75,LT,18450.201333333334
2797,LUCA SYRAH 750ML,6,143572.497,23928.749,0.75,LT,31904.998666666666
2798,PETITE FLEUR MALBEC 750ML,6,101176.347,16862.725,0.75,LT,22483.63333333333
2799,PETITE FLEUR CHARDONNAY 750ML,6,101176.347,16862.725,0.75,LT,22483.63333333333
2800,PETITE FLEUR CABERNET FRANC 750ML,6,101176.347,16862.725,0.75,LT,22483.63333333333
2801,PETITE FLEUR BLEND 750ML,6,101176.347,16862.725,0.75,LT,22483.63333333333
2802,INTI HEBRAS HORECA MIX X50 UNI,1,19991.639,19991.639,,,
2803,TRES PLUMAS CAFE AL RON 750ML,6,33564.686,5594.114,0.75,LT,7458.818666666666
2804,PURISIMA ENTERA 800GR,12,91639.35,7636.613,0.8,KG,9545.76625
2805,PURISIMA ENTERA 200GR,24,48318.93,2013.289,0.2,KG,10066.445
2806,PURISIMA ENTERA 400GR,16,62425.836,3901.615,0.4,KG,9754.037499999999
2807,PURISIMA DESCREMADA 800GR,12,86562.432,7213.536,0.8,KG,9016.92
2808,PURISIMA DESCREMADA 200GR,24,45476.64,1894.86,0.2,KG,9474.3
2809,PURISIMA DESCREMADA 400GR (POUCH),16,58753.728,3672.108,0.4,KG,9180.27
2810,PURISIMA STICK DESCREMADA X30 UNI,20,68852.025,3442.601,,,
2811,PURISIMA DESLACTOSADA 0% CAJA 400GR,12,52533.36,4377.78,0.4,KG,10944.449999999999
2812,TRES PLUMAS CAFE AL WHISKY 750ML,6,33564.686,5594.114,0.75,LT,7458.818666666666
2815,ARYTZA SALSA CRIOLLA BALDE 3.2 KG,1,52658.775,52658.775,3.2,KG,16455.8671875
2819,MARLEY BLANCO SIMPLE X20 UNI,1,20477.875,20477.875,,,
2820,PRINCIPE DE LOS APOSTOLES MEMBRILLO 750ML,6,101587.688,16931.281,0.75,LT,22575.04133333333
2821,INTI ZEN PACK CARTON X120 UNI,1,27180.967,27180.967,,,
2822,INTI CAJA EXHIBIDORA PIRAMIDE,1,34741.85,34741.85,,,
2824,SHIVA PIMENTON AHUMADO 100GR,25,49725.249,1989.01,0.1,KG,19890.1
2825,SHIVA CARBON VEGETAL 100GR,25,49725.249,1989.01,0.1,KG,19890.1
2826,SHIVA MIX DE SEMILLAS 100GR,25,49725.249,1989.01,0.1,KG,19890.1
2827,SHIVA MEDITERRANEAS 100GR,25,59670.001,2386.8,0.1,KG,23868.0
2828,INTI HEBRAS COMBO 1,1,34741.85,34741.85,,,
2829,INTI HEBRAS COMBO 2,1,19991.639,19991.639,,,
2830,H J. FABRE MALBEC ROSE 750ML,6,50097.353,8349.559,0.75,LT,11132.745333333332
2831,FABRE M. GRAN RESERVA MALBEC 750ML,6,110457.292,18409.549,0.75,LT,24546.065333333332
2833,INTI HEBRAS FEELING HAPPY 300GR,3,77896.781,25965.594,0.3,KG,86551.98000000001
2834,INTI HEBRAS MATCHA DETOX 300GR,3,77896.781,25965.594,0.3,KG,86551.98000000001
2835,INTI HEBRAS ORANGE GREEN LOVE 300GR,3,77896.781,25965.594,0.3,KG,86551.98000000001
2842,ESPOLON BLANCO 750ML,6,249272.608,41545.435,0.75,LT,55393.91333333333
2843,ESPOLON REPOSADO 750ML,6,306563.576,51093.929,0.75,LT,68125.23866666666
2844,YACI IGUAZU PACK X6 355ML,1,9266.399,9266.399,0.355,LT,26102.532394366197
2845,YACI PAMPA PACK X6 355ML,1,9266.399,9266.399,0.355,LT,26102.532394366197
2846,YACI PATAGONIA PACK X6 355ML,1,9266.399,9266.399,0.355,LT,26102.532394366197
2849,HODLMOSER 700ML,6,131365.8,21894.3,0.7,LT,31277.57142857143
2851,KILLKA BLEND CORTE DE TINTAS 750ML,6,35631.494,5938.582,0.75,LT,7918.109333333334
2852,TRUMPETER RESERVE CAB. SAUVIGNON 750ML,6,55728.0,9288.0,0.75,LT,12384.0
2853,OLIOVITA ACEITUNAS EN RODAJAS 220GR,24,21763.735,906.822,0.22,KG,4121.918181818181
2854,OLIOVITA ACEITUNAS EN RODAJAS 300GR,24,28458.184,1185.758,0.3,KG,3952.526666666667
2855,INTI HEBRAS OOLONG CHOCO MINT 300GR,3,77896.781,25965.594,0.3,KG,86551.98000000001
2856,INTI HEBRAS BE SWEET 300GR,3,77896.781,25965.594,0.3,KG,86551.98000000001
2857,SERNOVA CANDY GLOW 700ML,6,51991.839,8665.307,0.7,LT,12379.010000000002
2864,GOLDEN AGE ORANGE CURACAO 750ML,6,131838.893,21973.149,0.75,LT,29297.532000000003
2865,FERNET BRANCA 12X50ML,8,275375.904,34421.988,0.6,LT,57369.979999999996
2866,OLIOVITA SALSA BOLOGNESA 340GR,12,25551.679,2129.307,0.34,KG,6262.667647058823
2867,OLIOVITA SALSA BASILICO 340GR,12,25551.679,2129.307,0.34,KG,6262.667647058823
2868,OLIOVITA SALSA OLIVA 340GR,12,25551.679,2129.307,0.34,KG,6262.667647058823
2869,RUTINI MALBEC 375ML,12,176904.783,14742.065,0.375,LT,39312.17333333333
2870,CHIVAS REGAL CRYSTAL GOLD 750ML,6,508405.97,84734.328,0.75,LT,112979.10399999999
2872,OLIOVITA ACEITUNAS DESCAROZADAS 8.2 KG,1,16570.493,16570.493,8.2,KG,2020.7918292682928
2873,CALAVERA REPOSADO 750ML,6,330808.253,55134.709,0.75,LT,73512.94533333334
2874,INTI CAJA MADERA PIRAMIDE CERRADA,1,70692.98,70692.98,,,
2875,MERLE LONDON DRY 750ML,6,50145.481,8357.58,0.75,LT,11143.44
2879,OLIOVITA ACEITUNAS ENTERAS 8.2KG,1,14432.365,14432.365,8.2,KG,1760.044512195122
2880,AMANDE AVENA 1LTS,10,48612.96,4861.296,,,
2882,MERLE RIVER PLATE HERBAL 750ML,6,97813.98,16302.33,0.75,LT,21736.44
2883,MERLE RIVER PLATE CITRICO 750ML,6,97813.98,16302.33,0.75,LT,21736.44
2884,MERLE BOCA JUNIORS HERBAL 750ML,6,97813.98,16302.33,0.75,LT,21736.44
2885,MERLE BOCA JUNIORS CITRICO 750ML,6,97813.98,16302.33,0.75,LT,21736.44
2886,CRUZAT CUVEE BRUT 750ML,6,126508.803,21084.801,0.75,LT,28113.068
2887,PILSEN CALLAO PORRON 305ML,24,63223.721,2634.322,0.305,LT,8637.12131147541
